unit_id,timestamp_ms,iso_time,seq,roll_deg,pitch_deg,yaw_deg,mag_hdg,lat,lon,sog_mps,heading_deg,mag_x,mag_y,mag_z,ble1_roll,ble1_pitch,ble1_yaw,ble2_roll,ble2_pitch,ble2_yaw,ble3_roll,ble3_pitch,ble3_yaw,rudder_angle,boom_angle,torso_angle
RED,93751,2026-02-11T10:30:13Z,241,-1.01,0.23,102.64,102.64,28.867640,-13.833180,0.00,,-179.699,-134.428,-28.231,0.00,0.00,0.00,,,,,,,-102.64,,
RED,93966,,242,-0.99,0.19,102.66,102.66,,,0.00,,-155.709,-131.429,16.751,0.00,0.00,0.00,,,,,,,-102.66,,
RED,94137,,243,-0.99,0.19,102.73,102.73,,,0.00,,-146.712,-104.440,43.740,0.00,0.00,0.00,,,,,,,-102.73,,
RED,94309,,244,-1.00,0.18,102.73,102.73,,,0.00,,-152.710,-143.424,13.752,0.00,0.00,0.00,,,,,,,-102.73,,
RED,94479,,245,-1.00,0.17,102.73,102.73,,,0.00,,-173.701,-95.444,-7.239,0.00,0.00,0.00,,,,,,,-102.73,,
RED,94656,2026-02-11T10:30:14Z,246,-0.98,0.20,102.73,102.73,28.867655,-13.833195,0.00,,-176.700,-131.429,49.737,0.00,0.00,0.00,,,,,,,-102.73,,
RED,94834,,247,-0.96,0.22,102.73,102.73,,,0.00,,-179.699,-116.435,-16.236,0.00,0.00,0.00,,,,,,,-102.73,,
RED,95005,,248,-0.99,0.19,102.73,102.73,,,0.00,,-158.708,-146.423,-10.238,0.00,0.00,0.00,,,,,,,-102.73,,
RED,96654,,249,-1.11,0.03,102.82,102.82,,,0.00,,-164.705,-164.416,16.751,0.00,0.00,0.00,,,,,,,-102.82,,
RED,96829,2026-02-11T10:30:16Z,250,-1.07,-0.44,103.66,103.66,28.867668,-13.833155,0.00,,-146.712,-131.429,28.746,0.00,0.00,0.00,,,,,,,-103.66,,
RED,97010,,251,-0.97,-0.13,104.23,104.23,,,0.00,,-152.710,-155.419,22.748,0.00,0.00,0.00,,,,,,,-104.23,,
RED,98171,,252,-0.76,0.04,104.27,104.27,,,0.00,,-155.709,-140.425,43.740,0.00,0.00,0.00,,,,,,,-104.27,,
RED,98351,2026-02-11T10:30:17Z,253,-0.76,0.17,104.78,104.78,28.867668,-13.833119,0.00,,-149.711,-146.423,13.752,0.00,0.00,0.00,,,,,,,-104.78,,
RED,98522,,254,-0.56,0.32,104.67,104.67,,,0.00,,-176.700,-119.434,49.737,0.00,0.00,0.00,,,,,,,-104.67,,
RED,98698,2026-02-11T10:30:18Z,255,-0.72,0.26,104.75,104.75,28.867672,-13.833171,0.00,,-170.703,-128.430,34.744,0.00,0.00,0.00,,,,,,,-104.75,,
RED,98870,,256,-0.73,0.30,104.76,104.76,,,0.00,,-155.709,-152.420,1.757,0.00,0.00,0.00,,,,,,,-104.76,,
RED,99041,,257,-0.88,0.31,104.81,104.81,,,0.00,,-185.697,-128.430,-31.230,0.00,0.00,0.00,,,,,,,-104.81,,
RED,99209,,258,-0.95,0.28,104.83,104.83,,,0.00,,-152.710,-143.424,40.741,0.00,0.00,0.00,,,,,,,-104.83,,
RED,101558,2026-02-11T10:30:20Z,259,-1.07,0.20,104.85,104.85,28.867697,-13.833225,0.00,,-158.708,-170.413,7.755,0.00,0.00,0.00,,,,,,,-104.85,,
RED,101743,2026-02-11T10:30:21Z,260,-1.06,0.20,105.19,105.19,28.867701,-13.833225,0.00,,-155.709,-125.431,46.739,0.00,0.00,0.00,,,,,,,-105.19,,
RED,104414,2026-02-11T10:30:23Z,261,-0.93,0.16,105.20,105.20,28.867701,-13.833254,0.00,,-167.704,-149.422,13.752,,,,-178.93,6.45,-39.33,,,,,-144.53,
RED,104599,2026-02-11T10:30:24Z,262,-0.97,0.19,105.33,105.33,28.867704,-13.833256,0.00,,-152.710,-110.438,76.727,,,,-178.93,6.46,-39.16,,,,,-144.49,
RED,104770,,263,-0.98,0.22,105.34,105.34,,,0.00,,-155.709,-149.422,16.751,,,,-178.94,6.43,-38.44,,,,,-144.20,
RED,106419,,264,-0.98,0.14,105.35,105.35,,,0.00,,-149.711,-155.419,-1.242,,,,-178.93,6.42,-36.97,,,,,-142.33,
RED,106601,2026-02-11T10:30:26Z,265,-0.97,0.15,105.37,105.37,28.867704,-13.833258,0.00,,-176.700,-137.427,19.750,,,,-178.94,6.42,-36.66,,,,,-142.19,
RED,106773,,266,-0.97,0.20,105.37,105.37,,,0.00,,-176.700,-104.440,25.747,,,,-178.96,6.42,-36.50,,,,,-141.96,
RED,106947,,267,-0.96,0.23,105.37,105.37,,,0.00,,-164.705,-131.429,10.753,,,,-178.97,6.43,-35.93,,,,,-141.72,
RED,108594,,268,-1.05,0.07,105.38,105.38,,,0.00,,-170.703,-131.429,7.755,,,,-178.98,6.44,-34.85,,,,,-140.29,
RED,108767,2026-02-11T10:30:28Z,269,-1.00,0.14,105.43,105.43,28.867697,-13.833250,0.00,,-164.705,-158.418,22.748,,,,-178.97,6.44,-34.73,,,,,-140.16,
RED,108939,,270,-0.98,0.16,105.44,105.44,,,0.00,,-134.717,-146.423,-4.241,,,,-178.98,6.44,-34.72,,,,,-140.16,
RED,109116,,271,-0.99,0.15,105.44,105.44,,,0.00,,-182.698,-173.412,19.750,,,,-178.98,6.44,-34.66,,,,,-140.16,
RED,109285,,272,-0.98,0.19,105.48,105.48,,,0.00,,-182.698,-104.440,22.748,,,,-178.98,6.44,-34.53,,,,,-140.01,
RED,109455,,273,-0.99,0.22,105.48,105.48,,,0.00,,-185.697,-140.425,-7.239,,,,-178.98,6.44,-34.29,,,,,-139.77,
RED,109638,2026-02-11T10:30:29Z,274,-1.02,0.23,105.49,105.49,28.867693,-13.833250,0.00,,-200.691,-125.431,58.734,,,,-178.99,6.44,-34.04,,,,,-139.53,
RED,109813,,275,-1.00,0.24,105.50,105.50,,,0.00,,-167.704,-164.416,10.753,,,,-178.98,6.44,-33.90,,,,,-139.40,
RED,109986,,276,-0.99,0.25,105.50,105.50,,,0.00,,-149.711,-119.434,55.735,,,,-178.99,6.44,-33.81,,,,,-139.31,
RED,110154,,277,-1.00,0.20,105.50,105.50,,,0.00,,-179.699,-125.431,10.753,,,,-178.98,6.41,-33.37,,,,,-139.18,
RED,111802,,278,-0.91,0.16,105.50,105.50,,,0.00,,-179.699,-149.422,19.750,,,,-178.98,6.43,-32.73,,,,,-138.23,
RED,111986,2026-02-11T10:30:31Z,279,-0.93,0.18,105.56,105.56,28.867693,-13.833246,0.00,,-155.709,-125.431,40.741,,,,-178.99,6.43,-32.66,,,,,-138.22,
RED,119983,2026-02-11T10:30:39Z,280,-1.01,0.17,105.94,105.94,28.867693,-13.833246,0.00,,-161.706,-161.417,16.751,,,,,,,,,,,,
RED,121496,2026-02-11T10:30:40Z,281,-0.98,0.24,105.94,105.94,28.867693,-13.833246,0.00,,-161.706,-146.423,37.742,-179.41,0.42,-67.93,,,,,,,-173.33,,
RED,121671,2026-02-11T10:30:41Z,282,-1.00,0.25,105.96,105.96,28.867693,-13.833246,0.00,,-191.694,-125.431,19.750,-178.97,0.24,-63.24,,,,,,,-173.91,,
RED,121846,,283,-1.00,0.23,105.96,105.96,,,0.00,,-167.704,-167.414,31.745,-177.46,0.23,-62.23,,,,,,,-167.31,,
RED,122016,,284,-0.97,0.24,105.96,105.96,,,0.00,,-176.700,-119.434,28.746,-176.49,0.34,-60.86,,,,,,,-166.82,,
RED,124591,2026-02-11T10:30:43Z,285,-0.97,0.26,105.97,105.97,28.867693,-13.833246,0.00,,-146.712,-113.436,52.736,-107.73,-63.87,-118.05,-178.99,6.42,-30.39,,,,-167.29,-136.36,
RED,124770,2026-02-11T10:30:44Z,286,-0.93,0.24,106.01,106.01,28.867693,-13.833246,0.00,,-158.708,-149.422,37.742,-34.52,-11.35,147.11,-178.99,6.42,-30.39,,,,41.10,-136.40,
RED,124946,,287,-0.96,0.19,106.01,106.01,,,0.00,,-170.703,-128.430,-22.233,-39.09,5.48,129.89,-178.98,6.41,-30.36,,,,23.88,-136.37,
