segment_id,segment_name,athlete_id,athlete_name,time_s,abs_ts_s,iso_time,rudder_angle_deg,boom_angle_deg
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,0.029,1770994009.901,2026-02-13T14:46:49.900Z,6.039558,-10.782043
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.595,1770994011.467,2026-02-13T14:46:51.467Z,14.366241,-10.690596
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.628,1770994011.500,2026-02-13T14:46:51.500Z,14.901024,-10.716201
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.728,1770994011.601,2026-02-13T14:46:51.600Z,16.412102,-10.688913
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.795,1770994011.667,2026-02-13T14:46:51.667Z,15.550090,-10.714990
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.829,1770994011.701,2026-02-13T14:46:51.700Z,19.892374,-10.890940
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.895,1770994011.767,2026-02-13T14:46:51.767Z,18.222475,-11.045942
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.929,1770994011.801,2026-02-13T14:46:51.800Z,28.515618,-11.157544
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,1.995,1770994011.868,2026-02-13T14:46:51.867Z,17.074317,-11.237897
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.029,1770994011.901,2026-02-13T14:46:51.900Z,31.023320,-10.782646
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.095,1770994011.967,2026-02-13T14:46:51.966Z,34.580157,-10.454865
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.128,1770994012.000,2026-02-13T14:46:52.000Z,30.239661,-10.218862
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.228,1770994012.100,2026-02-13T14:46:52.100Z,29.765256,-10.775208
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.295,1770994012.167,2026-02-13T14:46:52.166Z,28.032692,-11.227490
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.328,1770994012.200,2026-02-13T14:46:52.200Z,25.583581,-11.727382
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.428,1770994012.300,2026-02-13T14:46:52.300Z,5.820252,-12.087304
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.495,1770994012.367,2026-02-13T14:46:52.367Z,17.119979,-12.346448
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.528,1770994012.400,2026-02-13T14:46:52.400Z,19.053562,0.253552
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.595,1770994012.467,2026-02-13T14:46:52.467Z,16.316453,9.398113
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.628,1770994012.500,2026-02-13T14:46:52.500Z,17.690715,16.082974
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.762,1770994012.634,2026-02-13T14:46:52.633Z,11.973627,20.795296
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.795,1770994012.667,2026-02-13T14:46:52.667Z,18.705720,24.115608
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.829,1770994012.701,2026-02-13T14:46:52.700Z,14.697297,23.936282
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,2.929,1770994012.801,2026-02-13T14:46:52.800Z,13.734645,21.073938
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,3.029,1770994012.901,2026-02-13T14:46:52.900Z,16.727824,19.013050
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,3.095,1770994012.967,2026-02-13T14:46:52.966Z,17.549674,20.262440
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,3.128,1770994013.000,2026-02-13T14:46:53.000Z,18.059077,21.526271
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,3.195,1770994013.067,2026-02-13T14:46:53.066Z,18.085414,23.375112
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,3.228,1770994013.100,2026-02-13T14:46:53.100Z,17.955895,24.706277
f9a173af-ef5a-46e3-8a4c-6e43d29147f9,tack2,06f71b84-7586-420a-bbc5-74cf50db03fa,Line,3.295,1770994013.167,2026-02-13T14:46:53.166Z,17.843673,24.725834
