maneuver_id,type,athlete_id,athlete_name,side_from,side_to,time_vs_anchor_s,abs_ts_s,iso_time,rudder_angle_deg,boom_angle_deg
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-5.253,1770993828.066,2026-02-13T14:43:48.066Z,6.007214,13.091560
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-4.761,1770993828.558,2026-02-13T14:43:48.558Z,9.636849,23.656912
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-4.242,1770993829.077,2026-02-13T14:43:49.077Z,1.565241,30.840704
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-3.761,1770993829.558,2026-02-13T14:43:49.558Z,-1.983042,55.275501
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-3.262,1770993830.057,2026-02-13T14:43:50.057Z,5.001010,17.829268
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-2.760,1770993830.559,2026-02-13T14:43:50.559Z,4.589274,13.333566
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-2.261,1770993831.058,2026-02-13T14:43:51.058Z,-3.171253,12.774302
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-1.761,1770993831.558,2026-02-13T14:43:51.558Z,-0.167863,11.567292
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-1.256,1770993832.063,2026-02-13T14:43:52.063Z,-10.864690,11.636671
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-0.759,1770993832.560,2026-02-13T14:43:52.560Z,-24.195076,12.694912
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,-0.242,1770993833.077,2026-02-13T14:43:53.077Z,-26.117922,14.332400
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,0.242,1770993833.561,2026-02-13T14:43:53.561Z,-12.597930,25.853351
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,0.735,1770993834.054,2026-02-13T14:43:54.054Z,-4.257202,-5.436521
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,1.238,1770993834.557,2026-02-13T14:43:54.557Z,-3.686669,-5.854678
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,1.739,1770993835.058,2026-02-13T14:43:55.058Z,-12.026423,-9.875359
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,2.241,1770993835.560,2026-02-13T14:43:55.560Z,-17.073709,-16.285000
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,2.744,1770993836.063,2026-02-13T14:43:56.063Z,-15.828110,-22.308902
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,3.239,1770993836.558,2026-02-13T14:43:56.558Z,-12.154111,-24.924072
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,3.755,1770993837.074,2026-02-13T14:43:57.074Z,-8.977306,-24.907124
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,4.239,1770993837.558,2026-02-13T14:43:57.558Z,-1.818048,-24.574421
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,4.732,1770993838.051,2026-02-13T14:43:58.051Z,0.984100,-25.848087
cf350544-5bf5-46e1-b82c-273cfba67b98:tack:17709938333,tack,76f8a04e-20e8-4225-98c5-2e554af97827,Line,port,starboard,5.240,1770993838.559,2026-02-13T14:43:58.559Z,-0.687285,-26.277222
